通し番号	章	章内の通番	英単語	品詞	訳
117	U3	1	Singapore	名	シンガポール
118	U3	2	relative	名	親戚
119	U3	3	invite	動	招く
120	U3	4	jealous	形	うらやましく思って
121	U3	5	kid	動	冗談を言う、からかう
122	U3	6	serious	形	深刻な、本気の
123	U3	7	tomorrow	副	明日
124	U3	8	forward	副	前へ、先へ
125	U3	9	the day after tomorrow	句	あさって
126	U3	10	look forward to ~ing	句	~するのを楽しみに待つ
127	U3	11	email	名	電子メール
128	U3	12	flight	名	<飛行機の>便、空の旅
129	U3	13	pack	動	<かばんや容器に>詰める
130	U3	14	week	名	週
131	U3	15	forget	動	忘れる
132	U3	16	sunscreen	名	日焼け止め
133	U3	17	sunglasses	名	サングラス
134	U3	18	will	助	~しようと思う、(きっと)~する
135	U3	19	arrive	動	到着する
136	U3	20	airport	名	空港
137	U3	21	care	名	世話、配慮
138	U3	22	be ready for ~	句	~の用意ができている
139	U3	23	it'll	短	it willの短縮形
140	U3	24	I'll	短	I willの短縮形
141	U3	25	cloud	名	雲
142	U3	26	rainy	形	雨降りの
143	U3	27	snow	名	雪
144	U3	28	snowy	形	雪の降る
145	U3	29	wind	名	風
146	U3	30	windy	形	風の強い
147	U3	31	weather	名	天気
148	U3	32	mind	動	気にする
149	U3	33	all day	句	一日中
150	U3	34	won't	短	will notの短縮形
151	U3	35	both	代	両方
152	U3	36	if	接	もし〜ならば
153	U3	37	stall	名	屋台
154	U3	38	excellent	形	非常に優れた
155	U3	39	go straight home	句	まっすぐ家に帰る
156	U3	40	show ~ around	句	~を案内して回る
157	U3	41	aquarium	名	水族館
158	U3	42	swimming pool	名	水泳プール
159	U3	43	picnic	名	ピクニック
160	U3	44	a bit	句	ちょっと
161	U3	45	have a picnic	句	ピクニックをする
162	U3	46	reply	名	返事
163	U3	47	arrival	名	到着
164	U3	48	exit	名	出口
165	U3	49	few	形	少ない
166	U3	50	said	■	sayの過去形・過去分詞
167	U3	51	abroad	副	外国へ [で]
168	U3	52	worried	形	心配して
169	U3	53	Thanks for ~.	句	~をありがとう。
170	U3	54	a few ~	句	少しの、2~3の
171	U3	55	feel free to ~	句	遠慮なく〜する
172	U3	56	See you soon.	句	ではまた。
173	DL3	1	board	動	<船・飛行機・電車などに> 搭乗する
174	DL3	2	degree Celsius	名	<温度の単位>摂氏~度
