通し番号	章	章内の通番	英単語	品詞	訳
62	U2	1	pass	動	通過する、渡す
63	U2	2	ball	名	ボール
64	U2	3	problem	名	問題
65	U2	4	beginner	名	初心者
66	U2	5	easy	形	簡単な
67	U2	6	actually	副	実際は、実は
68	U2	7	on the way home	句	家に帰る途中で
69	U2	8	action	名	行動、動作
70	U2	9	difficult	形	難しい
71	U2	10	point	名	点,〈成績・競技などの〉点数
72	U2	11	shoot	動	撃つ
73	U2	12	important	形	重要な、大切な
74	U2	13	stop	動	止める、止まる
75	U2	14	try to ~	句	~しようと試みる
76	U2	15	win	動	獲得する、勝つ
77	U2	16	surfing	名	サーフィン
78	U2	17	improve	動	向上させる
79	U2	18	congratulation	間	<~s!で> おめでとうございます。
80	U2	19	job	名	仕事、やるべきこと
81	U2	20	teach	動	教える
82	U2	21	taught	■	teachの過去形・過去分詞
83	U2	22	progress	名	進歩、進み具合
84	U2	23	believe	動	信じる
85	U2	24	could	助	canの過去形
86	U2	25	proud	形	誇りを持った
87	U2	26	do a great job	句	うまくやってのける
88	U2	27	thanks to ~	句	~のおかげで
89	U2	28	make progress	句	上達する
90	U2	29	Practice makes perfect.	句	練習を続ければ完璧になる。
91	U2	30	be proud of ~	句	~に誇りを持っている
92	U2	31	learn	動	学ぶ、身につける
93	U2	32	song	名	歌、曲
94	U2	33	What do you think?	句	どう思いますか。
95	U2	34	arm	名	腕
96	U2	35	wrestling	名	レスリング
97	U2	36	quiz	名	小テスト、クイズ
98	U2	37	nature	名	自然
99	U2	38	relax	動	くつろぐ
100	U2	39	understand	動	理解する
101	U2	40	each	代	それぞれ、1つ1つ
102	U2	41	each other	句	おたがい
103	U2	42	work together	句	協力する、団結する
104	U2	43	exercise	名	運動
105	DL2	1	hour	名	〈時間の単位〉時間
106	DL2	2	championship	名	選手権、優勝(者の地位)
107	DL2	3	professional	形	プロフェッショナルの
108	DL2	4	performer	名	演者
109	DL2	5	technique	名	技術
110	DL2	6	~ hour(s) a day	句	1日に~時間
111	DL2	7	all over ~	句	~じゅうで[に]
112	AG1	1	hobby	名	<凝った> 趣味
113	AG1	2	dream	名	夢
114	AG1	3	began	■	beginの過去形
115	AG1	4	rain	動	雨が降る
116	AG1	5	finish	動	終える、終わる
