通し番号	章	章内の通番	英単語	品詞	訳
259	U4	1	cafe	名	カフェ
260	U4	2	sightseeing	名	観光
261	U4	3	several	形	いくつかの
262	U4	4	bay	名	湾、入江
263	U4	5	check	動	確かめる
264	U4	6	Arab	形	アラブの
265	U4	7	make a plan	句	計画を立てる
266	U4	8	near there	句	その近くに[で]
267	U4	9	check out ~	句	~を見てみる
268	U4	10	island	名	島
269	U4	11	theater	名	劇場
270	U4	12	amazing	形	驚くほど見事な
271	U4	13	fiction	名	創作、作り話
272	U4	14	guidebook	名	ガイドブック
273	U4	15	produce	動	生産する、作り出す
274	U4	16	energy	名	活力、エネルギー
275	U4	17	collect	動	回収する、収集する
276	U4	18	solar	形	太陽の
277	U4	19	environment	名	環境
278	U4	20	walkway	名	連絡用の通路、歩く道
279	U4	21	access	名	接近方法、交通手段
280	U4	22	Here you are.	句	さあどうぞ。
281	U4	23	go up	句	上がる
282	U4	24	show ~ the way	句	~に道を教える
283	U4	25	mug	名	マグカップ
284	U4	26	key chain	名	キーホルダー
285	U4	27	souvenir	名	おみやげ
286	U4	28	magnet	名	磁石
287	U4	29	everyday	形	毎日の
288	U4	30	expensive	形	高価な
289	U4	31	mosque	名	モスク
290	U4	32	rule	名	規則
291	U4	33	visitor	名	訪問者
292	U4	34	cover	動	覆う
293	U4	35	shoulder	名	肩
294	U4	36	knee	名	ひざ
295	U4	37	wear	動	身に着ける
296	U4	38	hoodie	名	フードつきトレーナー
297	U4	39	borrow	動	借りる
298	U4	40	clothes	名	衣服
299	U4	41	need to ~	句	~する必要がある
300	U4	42	go in	句	中に入る
301	U4	43	over there	句	あちらに
302	U4	44	food court	名	フードコート
303	U4	45	litter	動	ごみを散らかす
304	U4	46	example	名	例
305	U4	47	for example	句	たとえば
306	U4	48	quick	形	すばやい、短時間の
307	U4	49	noodle	名	<ふつう複数形で>麺類
308	U4	50	spicy	形	ピリッと辛い
309	U4	51	soup	名	スープ
310	U4	52	mixture	名	混ざったもの
311	U4	53	Chinese	形	中国の
312	U4	54	Malay	形	マレー半島の
313	U4	55	shrimp	名	えび
314	U4	56	bowl	名	椀、丼、ボウル
315	U4	57	crisp	形	パリっとした、シャキシャキした
316	U4	58	super	副	とっても
317	U4	59	juicy	形	水分の多い
318	U4	60	one of ~	句	~のうちの1つ
319	U4	61	here and there	句	あちこちに
320	U4	62	healthy	形	健康的な
321	U4	63	creamy	形	クリームのような、なめらかな
322	U4	64	tasty	形	風味のある、おいしい
323	U4	65	topping	名	上に乗せるもの
324	U4	66	especially	副	特に
325	U4	67	right now	句	ちょうど今、今すぐ
326	U4	68	feel like ~ing	句	~したい気がする
327	AG3	1	send	動	送る
